#-------------------------------------------
# Food Diary Report - Detailed Report,"воскресенье, марта 29, 2026","суббота, апреля 4, 2026"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,2304,"103,39","209,5","142,94"
Завтрак,584,"22,99","42,75","52,57"
Обед,731,"47,91","58,47","28,74"
Ужин,569,"23,05","41,27","43,84"
Перекус/Другое,420,"9,44",67,"17,78"

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"воскресенье, марта 29, 2026",1735,"69,29","7,95","179,58","17,35","28,47","103,02",3,,524
 Завтрак,448,"16,7",,2,0,0,"72,6",,,
  Лента Арахисовая Паста Crunchy,112,"9,2",,2,,0,"5,4",,,
   20 г
  Перекресток Грудка Куриная Гриль,336,"7,5",,0,0,0,"67,2",,,
   300 г
 Обед,847,"49,65","5,45","82,25","12,35","1,3","17,9",,,
  Smart  Грецкий Орех Ядра Сушеные,349,32,"3,5","6,85","3,35","1,3","7,4",,,
   50 г
  Хлебный Дом Хлеб Бородинский в Нарезке,300,"2,25","1,95",60,9,,"10,5",,,
   150 г
  Дядя Ваня Икра Кабачковая,198,"15,4",,"15,4",,,0,,,
   220 г
 Ужин,,,,,,,,,,
 Перекус/Другое,440,"2,94","2,5","95,33",5,"27,17","12,52",3,,524
  Клементины,139,"0,44",,"35,58",5,"27,17","2,52",3,,524
   4 фрукта
  NEO Греческий Йогурт,85,"2,5","2,5","5,75",0,0,10,0,,
   125 г
  Фруто Няня Банан с Мякотью,216,0,,54,,0,0,,,
   450 г

"понедельник, марта 30, 2026",2365,"102,08","3,5","200,19","5,47","12,22","161,54",0,0,0
 Завтрак,846,"24,4",,"75,48",0,"10,92",82,0,0,0
  Савушкин Продукт Йогурт Греческий Teos 2%,94,"2,8",,"5,88",0,"10,92","11,2",0,0,0
   140 г
  Перекресток Сырники Жареные,477,"19,1",,"45,1",,,"30,8",,,
"   1 порция, 220 г"
  Hyper Коктейль Молочный,275,"2,5",,"24,5",,,40,,,
   500 г
 Обед,677,"33,89",,"59,55",,,"35,32",,,
  Перекресток Салат Винегрет Овощной с Маслом,202,"8,64",,"24,3",,,"8,82",,,
   180 г
  Перекресток Шашлык из Курицы в Кефире,475,"25,25",,"35,25",,,"26,5",,,
   250 г
 Ужин,842,"43,79","3,5","65,16","5,47","1,3","44,22",,,
  Перекресток Капуста Квашенная по-Деревенски,24,0,,"2,75","2,12",,"2,38",,,
   125 г
  Smart  Грецкий Орех Ядра Сушеные,349,32,"3,5","6,85","3,35","1,3","7,4",,,
   50 г
  Каравай Батон Наше Солнышко,251,"2,79",,"48,36",,,"7,44",,,
   93 г
  Черкизово Корейка,218,9,,"7,2",,,27,,,
   180 г
 Перекус/Другое,,,,,,,,,,

"вторник, марта 31, 2026",2321,"109,12","2,209","239,79",22,"45,7","136,19",201,0,736
 Завтрак,540,"9,8",,"69,3",,5,"45,5",,,
  Шеф Перекресток Каша Рисовая на Кокосовом Молоке с Фруктами,265,"7,3",,"44,8",,5,"5,5",,,
"   1 порция, 250 г"
  Hyper Коктейль Молочный,275,"2,5",,"24,5",,,40,,,
   500 г
 Обед,660,"57,5",,55,,,"22,5",,,
  Русский Хлеб Жаркое по Домашнему,660,"57,5",,55,,,"22,5",,,
   250
 Ужин,833,"36,79","2,17","58,46","13,2","2,61","59,07",200,,
  Smart  Грецкий Орех Ядра Сушеные,216,"19,84","2,17","4,25","2,08","0,81","4,59",,,
   31 г
  Перекресток Капуста Квашенная по-Деревенски,24,0,,"2,75","2,12",,"2,38",,,
   125 г
  Черкизово Корейка,211,"8,7",,"6,96",,,"26,1",,,
   174 г
  Каравай Батон Наше Солнышко,202,"2,25",,39,,,6,,,
   75 г
  Protein Rex Protein Rex Gym Кокос,180,6,,"5,5",9,"1,8",20,200,,
"   1 батончик, 60 г"
 Перекус/Другое,288,"5,03","0,039","57,03","8,8","38,09","9,12",1,0,736
  Клементины,70,"0,22",,"17,79","2,5","13,59","1,26",1,,262
   2 фрукта
  Апельсин,123,"0,31","0,039","30,78","6,3","24,5","2,46",0,0,474
"   2 средних (6,5 см диаметром)"
  Лента Молоко,95,"4,5",,"8,46",,,"5,4",,,
   180 г

"среда, апреля 1, 2026",2379,"94,39","5,008","174,91",0,"17,34","177,05",10,0,146
 Завтрак,472,"17,5",5,19,0,0,60,0,,
  NEO Греческий Йогурт,170,5,5,"11,5",0,0,20,0,,
   250 г
  Пискаревский Творог 5%,302,"12,5",,"7,5",,0,40,,,
   250 г
 Обед,799,"49,54","0,004","65,71",0,"8,67","22,46",5,0,73
  Кофе с Сахаром,38,0,"0,004","9,53",0,"8,67","0,26",5,0,73
   1 кружка (240 мл)
  Перекресток Коул Слоу,373,"32,04",,"18,18",,,"2,7",,,
   180 г
  Перекресток Плов с Курицей,388,"17,5",,38,,,"19,5",,,
"   1 порция , 250 г"
 Ужин,567,"20,13",0,"28,92",,,"37,93",,,
  Paulaner Пиво Светлое Нефильтрованное,210,0,0,23,,,0,,,
   500 мл
  Bonvida Филе Куриное Копчено-Вареное,138,"5,35",,"2,14",,,"20,33",,,
   107 г
  Умалат Сыр Кавказский,219,"14,78",,"3,78",,,"17,6",,,
   88 г
 Перекус/Другое,541,"7,22","0,004","61,28",0,"8,67","56,66",5,0,73
  Самокат Кукурузные Палочки,143,"3,72",,26,,,"1,4",,,
   40 г
  Молочная Культура PROTEIN ПИНА КОЛАДА,200,"0,5",,"13,75",,,35,,,
"   1 порция, 250 г"
  Кофе с Сахаром,38,0,"0,004","9,53",0,"8,67","0,26",5,0,73
   1 кружка (240 мл)
  Ehrmann Vanilla Pudding High Protein,160,3,0,12,,,20,,,
"   1 баночка, 200 г"

"четверг, апреля 2, 2026",2454,"99,7","12,376","247,94","6,2","80,22","143,2",308,0,822
 Завтрак,721,"40,29","12,24",64,,"7,14","25,5",,,
"  ВкусВилл Мини-Чиабатта с Куриной Ветчиной, Омлетом и Сыром",721,"40,29","12,24",64,,"7,14","25,5",,,
   255 г
 Обед,606,"38,74",,"36,58",,,"22,9",,,
  Перекресток Коул Слоу,373,"32,04",,"18,18",,,"2,7",,,
   180 г
  Перекресток Филе Куриное с Гречкой и Луковым Соусом,233,"6,7",,"18,4",,,"20,2",,,
"   1 порция, 230 г"
 Ужин,689,"15,6",,"46,04",,,"90,88",,,
  Савушкин Продукт Teos Йогурт Греческий 2%,228,5,,"28,25",,,"17,5",,,
   250 г
  Bonvida Филе Куриное Копчено-Вареное,261,"10,1",,"4,04",,,"38,38",,,
   202 г
  Молочная Культура PROTEIN ПИНА КОЛАДА,200,"0,5",,"13,75",,,35,,,
"   1 порция, 250 г"
 Перекус/Другое,438,"5,07","0,136","101,32","6,2","73,08","3,92",308,0,822
  Коркунов Конфета,70,"4,4",,"6,6",,,"0,8",,,
   1 шт
  Клементины,87,"0,28",,"22,24","3,1","16,98","1,57",2,,327
   2 1/2 фрукта
  Red Bull Red Bull,138,0,0,36,0,33,0,300,,
   300 мл
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)
  Кофе с Сахаром,38,0,"0,004","9,53",0,"8,67","0,26",5,0,73
   1 кружка (240 мл)

"пятница, апреля 3, 2026",2563,"132,85","0,132","253,97","3,1","19,43","132,64",43,0,476
 Завтрак,465,"7,8",,"58,55",,5,"40,5",,,
  Шеф Перекресток Каша Рисовая на Кокосовом Молоке с Фруктами,265,"7,3",,"44,8",,5,"5,5",,,
"   1 порция, 250 г"
  Молочная Культура PROTEIN ПИНА КОЛАДА,200,"0,5",,"13,75",,,35,,,
"   1 порция, 250 г"
 Обед,1033,"89,54",,"73,18",,,"25,2",,,
  Перекресток Коул Слоу,373,"32,04",,"18,18",,,"2,7",,,
   180 г
  Русский Хлеб Жаркое по Домашнему,660,"57,5",,55,,,"22,5",,,
   250
 Ужин,779,"28,07","0,132","70,24","3,1","14,43","64,14",43,0,476
  Хлебный Дом Батон Нарезной,87,"0,96",,"16,96",,,"2,48",,,
   33 г
  Умалат Сыр Кавказский,219,"14,78",,"3,78",,,"17,6",,,
   88 г
  Bonvida Филе Куриное Копчено-Вареное,146,"5,65",,"2,26",,,"21,47",,,
   113 г
  Протеин+креатин+молоко,222,"6,29",,"20,29",,,"21,3",42,,54
   1 порция
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)
 Перекус/Другое,286,"7,44",,52,,,"2,8",,,
  Самокат Кукурузные Палочки,286,"7,44",,52,,,"2,8",,,
   80 г

"суббота, апреля 4, 2026",2311,"116,27","6,026","170,11","9,4","41,87","146,93",45,0,630
 Завтрак,594,"44,44","2,144","10,93","2,3","0,91","41,9",1,0,154
  Грецкие Орехи,229,"22,82","2,144","4,8","2,3","0,91","5,33",1,0,154
   35 г
  Bonvida Филе Куриное Копчено-Вареное,107,"4,15",,"1,66",,,"15,77",,,
   83 г
  Умалат Сыр Кавказский,258,"17,47",,"4,47",,,"20,8",,,
   104 г
 Обед,496,"16,5",0,"37,04",0,"0,88","54,91",1,,
  Качковая лепешка,496,"16,5",0,"37,04",0,"0,88","54,91",1,,
   1 порция
 Ужин,276,"16,95","2,25","20,1","2,4","13,05","10,65",,,
  Алексеевская Сгущенка,99,"2,55",,"16,8",,"13,05","2,25",,,
   30 г
  Delisse Арахисовая Паста Creamy,177,"14,4","2,25","3,3","2,4",,"8,4",,,
   30 г
 Перекус/Другое,945,"38,38","1,632","102,04","4,7","27,03","39,47",43,0,476
  Valio Йогурт Laplandia Сливочный,307,"22,1",,"15,6",,,"11,18",,,
   260 г
  Балтика Балтика 0 Пшеничное,135,0,,"22,5",,,0,,,
   450 г
  Delisse Арахисовая Паста Creamy,118,"9,6","1,5","2,2","1,6",,"5,6",,,
   20 г
  Delisse Мандарин в Желе,58,0,,"14,5",,"12,6","0,1",,,
   100 г
  Протеин+креатин+молоко,222,"6,29",,"20,29",,,"21,3",42,,54
   1 порция
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)

Всего,16128,"723,7","37,201","1466,49","63,52","245,25","1000,57",610,0,3334
