#-------------------------------------------
# Food Diary Report - Detailed Report,"воскресенье, марта 1, 2026","вторник, марта 31, 2026"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,2023,"82,22","190,52",123
Завтрак,594,"21,42","56,37","44,07"
Обед,680,"38,64","59,56","27,24"
Ужин,491,"19,51","36,87","42,74"
Перекус/Другое,258,"2,64","37,71","8,95"

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"вторник, марта 17, 2026",2223,"112,31","14,645","231,45","4,3","72,61","75,42",804,564,"845,6"
 Завтрак,639,"26,1",5,"84,4",0,"34,9","16,15",,,
  Свитлогорье Сырок Творожный Глазированный,204,"13,8",,16,,"14,9","3,85",,,
   50 г
  Шеф Перекресток Каша Рисовая на Кокосовом Молоке с Фруктами,265,"7,3",,"44,8",,5,"5,5",,,
"   1 порция, 250 г"
  Epica Йогурт Питьевой Вишня-Банан,170,5,5,"23,6",0,15,"6,8",,,
   200 г
 Обед,989,"60,83","0,978","75,22","1,2","2,36","38,2",360,7,70
  Вафли,155,"4,78","0,978","24,42","1,2","2,36","3,65",360,7,70
   50 г
  Перекресток Сельдь под Шубой,442,"31,8",,"21,8",,,"19,8",,,
   200 г
  Самокат Жаркое по-Домашнему с Говядиной,392,"24,25",,29,,,"14,75",,,
   250 г
 Ужин,511,"25,38","8,667","50,83","3,1","35,35","21,07",444,557,588
  Snickers Лесной Орех,203,"11,04","4,24","22,4",,"19,44","3,24",76,,
   40 г
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)
  Вареное Яйцо,203,"13,95","4,295","1,48",0,"1,48","16,54",367,557,166
   3 средних 
 Перекус/Другое,84,0,,21,,,0,,,"187,6"
  Добрый Сок Яблоко,84,0,,21,,,0,,,"187,6"
   200 мл

"среда, марта 18, 2026",2001,"78,75","1,419","257,07","3,4","44,71","73,7",185,18,506
 Завтрак,515,"20,3",,"74,8",,30,9,,,
  Snickers Батончик,250,13,,30,,25,"3,5",,,
"   1 шоколадный батончик, 50 г"
  Шеф Перекресток Каша Рисовая на Кокосовом Молоке с Фруктами,265,"7,3",,"44,8",,5,"5,5",,,
"   1 порция, 250 г"
 Обед,706,"40,04",,"60,1",,,"28,42",,,
  Перекресток Салат Винегрет Овощной с Маслом,202,"8,64",,"24,3",,,"8,82",,,
   180 г
  Перекресток Котлета по-Киевски с Картофельным Пюре,504,"31,4",,"35,8",,,"19,6",,,
"   1 порция, 280 г"
 Ужин,675,"18,02","1,287","95,22","0,3","0,28","34,99",184,18,84
  Куриные Наггетсы,95,"6,02","1,287","5,22","0,3","0,28","4,99",184,18,84
   2 наггетса
  Суши Маркет Онигири с Курицей,580,12,,90,,,30,,,
"   2 x 1 порция, 308 г"
 Перекус/Другое,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)

"четверг, марта 19, 2026",1863,"69,44","2,099","208,56","5,6","32,31","100,72","739,53",14,808
 Завтрак,636,"31,5",,"67,75",,,"17,75",,,
  Суши Мастер Ролл Нежный с Курицей Запеченный (8 шт.),636,"31,5",,"67,75",,,"17,75",,,
   250 г
 Обед,618,"18,15","1,957","83,44","2,5","4,72","30,5",720,14,141
  Вафли,310,"9,55","1,957","48,84","2,5","4,72","7,3",720,14,141
   100 г
  Люди Любят Индейка со Сливочным Соусом и Рисом Басматти,308,"8,6",,"34,6",,,"23,2",,,
   200 г
 Ужин,403,"15,6",,"16,2",,,"49,5",,,
  Моя Цена Батон,52,"0,6",,"10,2",,,"1,5",,,
   20 г
  Новосибирская Птицефабрика Грудка Копчено-Вареная,351,15,,6,,,48,,,
   300 г
 Перекус/Другое,206,"4,19","0,142","41,17","3,1","27,59","2,97","19,53",0,667
  M&M's Драже,96,"3,7",,"14,22",,"13,16","1,08","8,53",,
   20 г
  Кофе (из Молотых Зерен),5,"0,1","0,01",0,0,0,"0,6",10,0,245
   500 мл
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)

"пятница, марта 20, 2026",2812,"111,17","0,658","271,31","6,6","95,59","90,32",151,3,941
 Завтрак,759,"46,55","0,391","69,15","0,5","0,94","15,56",144,3,28
  Вафли,62,"1,91","0,391","9,77","0,5","0,94","1,46",144,3,28
   20 г
  Перекресток Коул Слоу,373,"32,04",,"18,18",,,"2,7",,,
   180 г
  Самокат Гречка по-Купечески,324,"12,6",,"41,2",,,"11,4",,,
   200 г
 Обед,730,"48,14",,"53,14",,,"20,64",,,
  Перекресток Коул Слоу,373,"32,04",,"18,18",,,"2,7",,,
   180 г
  Перекресток Плов с Курицей,357,"16,1",,"34,96",,,"17,94",,,
   230 г
 Ужин,463,"15,7",,"28,8",,,"51,5",,,
  Моя Цена Батон,52,"0,6",,"10,2",,,"1,5",,,
   20 г
  Новосибирская Птицефабрика Грудка Копчено-Вареная,351,15,,6,,,48,,,
   300 г
  Рестория Шеф  Капуста по Корейски Кимчи,60,"0,1",,"12,6",,,2,,,
   100 г
 Перекус/Другое,860,"0,78","0,267","120,22","6,1","94,65","2,62",7,0,913
  Банан,210,"0,78","0,264","53,9","6,1","28,86","2,57",2,0,845
   2 средних (18 см - 20 см в длину)
  Балтика Krone Blanche,600,0,,"52,5",,"52,5",0,,,
   1 500 г
  Чай с Медом,50,0,"0,003","13,82",0,"13,29","0,05",5,0,68
   1 чашка (180 мл)

"суббота, марта 21, 2026",1985,"72,03","4,64","197,34",13,"57,91","123,35",1025,44,2233
 Завтрак,628,"27,78","0,264","69,2","6,1","28,86","31,12",2,0,845
  Банан,210,"0,78","0,264","53,9","6,1","28,86","2,57",2,0,845
   2 средних (18 см - 20 см в длину)
  Брест Литовск Сыр Классический 45%,340,"26,1",,0,,0,"26,3",,,
   100 г
  Моя Цена Батон,78,"0,9",,"15,3",,,"2,25",,,
   30 г
 Обед,582,"22,32","4,244","49,24","3,8","2,37","46,01",1022,44,966
  Exponenta Лимонный Чизкейк,150,0,,"6,25",,,30,,,
"   1 порция, 250 г"
  Картошка по Деревенски,194,"7,26","1,026","29,93","3,1","1,67","3,54",563,0,757
   150 г
  Куриные Наггетсы,238,"15,06","3,218","13,06","0,7","0,7","12,47",459,44,209
   5 наггетса
 Ужин,530,"21,54",,"39,7",,,"44,93",,,
  Славянка Обыкновенное Чудо Сливочное,204,"11,64",,"23,28",,,"2,18",,,
   40 г
  Моя Цена Батон,78,"0,9",,"15,3",,,"2,25",,,
   30 г
"  Новгородский Бекон Грудка Копчено-Вареная Экстра Сорт, Охлажденная",248,9,,"1,12",,,"40,5",,,
   225 г
 Перекус/Другое,245,"0,39","0,132","39,2","3,1","26,68","1,29",1,0,422
  Балтика Krone Blanche,140,0,,"12,25",,"12,25",0,,,
   350 г
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)

"воскресенье, марта 22, 2026",1661,"67,49","11,672","166,4",6,"102,76","98,89",830,730,654
 Завтрак,663,"32,89","6,672","29,56","3,1","15,76","63,49",830,730,654
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)
"  Новгородский Бекон Грудка Копчено-Вареная Экстра Сорт, Охлажденная",248,9,,"1,12",,,"40,5",,,
   225 г
  Жареное Яйцо,310,"23,5","6,54","1,49",0,"1,33","21,7",829,730,232
   4 средних 
 Обед,268,"7,85",,"44,4","2,9","1,5",5,,,
  KDV Жевательный Зефир Маршмеллоу "Zerfer Trio",70,0,,"16,4",,,"0,9",,,
   20 г
  Дядя Ваня Икра Кабачковая,90,7,,7,,,0,,,
   100 г
  Хлебный Дом Батон Домашний в Нарезке,81,"0,75",,"16,2",,"1,5","2,4",,,
   30 г
  Зеленая Линия  Капуста Квашеная с Морковью,27,"0,1",,"4,8","2,9",,"1,7",,,
   100 г
 Ужин,287,"12,75",,"21,44",,"20,5","21,7",,,
  Хлебный Дом Батон Домашний в Нарезке,54,"0,5",,"10,8",,1,"1,6",,,
   20 г
"  Брест Литовск Масло Сливочное 72,5%",66,"7,25",,"0,14",,,"0,1",,,
   10 г
  Савушкин Продукт Йогурт Греческий Teos 2%,167,5,,"10,5",,"19,5",20,,,
   250 г
 Перекус/Другое,443,14,5,71,0,65,"8,7",,,
"  Макдоналдс Молочный Коктейль Ванильный (0,4 L)",303,6,5,55,0,65,"7,2",,,
"   1 порция, 400 мл"
  Славянка Обыкновенное Чудо Сливочное,140,8,,16,,,"1,5",,,
"   1 батончик, 27,5 г"

"понедельник, марта 23, 2026",1835,"76,65","1,174","125,61","4,4",25,"159,46",432,8,85
 Завтрак,509,"10,1",,"56,93",,"22,17","46,7",,,
  Exponenta High-Pro Черника-Земляника,150,0,,"6,25",,"6,25",30,,,
"   1 порцияininini, 250 г"
  Савушкин Продукт Йогурт Греческий Teos 2%,94,"2,8",,"5,88",,"10,92","11,2",,,
   140 г
  Шеф Перекресток Каша Рисовая на Кокосовом Молоке с Фруктами,265,"7,3",,"44,8",,5,"5,5",,,
"   1 порция, 250 г"
 Обед,837,"49,65","1,174","61,78","1,5","2,83","35,46",432,8,85
  Вафли,186,"5,73","1,174","29,3","1,5","2,83","4,38",432,8,85
   60 г
  Перекресток Коул Слоу,373,"32,04",,"18,18",,,"2,7",,,
   180 г
