#-------------------------------------------
# Food Diary Report - Detailed Report,"воскресенье, апреля 5, 2026","суббота, апреля 11, 2026"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,2090,"67,51","208,1","150,77"
Завтрак,476,"16,98","45,84","35,82"
Обед,465,"16,13","46,12","35,96"
Ужин,573,"20,82","49,48","49,7"
Перекус/Другое,576,"13,58","66,65","29,3"

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"воскресенье, апреля 5, 2026",1773,"46,7","4,717","208,23","9,2","65,55","143,79",441,78,1353
 Завтрак,407,"12,89","0,132","34,45","3,1","14,43","41,29",1,0,422
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)
  Пискаревский Творог 5%,302,"12,5",,"7,5",,0,40,,,
   250 г
 Обед,703,"17,43","0,117","77,99","5,4","32,62","69,43",7,0,498
  Мандарины,159,"0,93","0,117","40,02","5,4","31,74","2,43",6,0,498
   300 г
  Grovo Удобное Яйцо Белок,48,0,,"0,93",,,"12,09",,,
   93 г
  Качковая лепешка,496,"16,5",0,"37,04",0,"0,88","54,91",1,,
   1 порция
 Ужин,165,"3,94","0,858","27,16","0,7","7,3","4,79",305,57,66
  Оладьи,165,"3,94","0,858","27,16","0,7","7,3","4,79",305,57,66
   3 штуке
 Перекус/Другое,498,"12,44","3,61","68,63",0,"11,2","28,28",128,21,367
"  Кефир 2,5%",122,"6,15","3,61","9,84",0,"11,2","6,98",86,21,313
   1 чашка
  J7 Кактус Лайм,154,0,,"38,5",,,0,,,
   385 мл
  Протеин+креатин+молоко,222,"6,29",,"20,29",,,"21,3",42,,54
   1 порция

"понедельник, апреля 6, 2026",1791,"59,25","2,25","185,65","2,4","18,93","134,78",43,,54
 Завтрак,487,"13,59",,"65,09",,5,"26,8",42,,54
  Шеф Перекресток Каша Рисовая на Кокосовом Молоке с Фруктами,265,"7,3",,"44,8",,5,"5,5",,,
"   1 порция, 250 г"
  Протеин+креатин+молоко,222,"6,29",,"20,29",,,"21,3",42,,54
   1 порция
 Обед,278,"11,88",,"14,3",,,"28,38",,,
  Creative Kitchen Куриная Грудка Гриль с Картофелем и Соусом,278,"11,88",,"14,3",,,"28,38",,,
   220 г
 Ужин,824,"33,45","2,25","58,14","2,4","13,93","78,56",1,,
  Grovo Удобное Яйцо Белок,52,0,,1,,,13,,,
   100 г
  Алексеевская Сгущенка,99,"2,55",,"16,8",,"13,05","2,25",,,
   30 г
  Delisse Арахисовая Паста Creamy,177,"14,4","2,25","3,3","2,4",,"8,4",,,
   30 г
  Качковая лепешка,496,"16,5",0,"37,04",0,"0,88","54,91",1,,
   1 порция
 Перекус/Другое,202,"0,33",,"48,12",,,"1,04",,,
  Ударница Мармеладки в Шоколаде Шарм,202,"0,33",,"48,12",,,"1,04",,,
   55 г

"вторник, апреля 7, 2026",2197,"90,85","1,12","186,2","10,2","9,2","157,02",243,,54
 Завтрак,642,"31,79",,"49,24",,,"39,75",42,,54
  Шеф Перекресток Сырники Жареные,420,"25,5",,"28,95",,,"18,45",,,
   150 г
  Протеин+креатин+молоко,222,"6,29",,"20,29",,,"21,3",42,,54
   1 порция
 Обед,475,"25,25",,"35,25",,,"26,5",,,
  Перекресток Шашлык из Курицы в Кефире,475,"25,25",,"35,25",,,"26,5",,,
   250 г
 Ужин,900,"27,81","1,12","96,21","1,2","7,4","70,77",1,,
  Ударница Мармеладки в Шоколаде Шарм,202,"0,33",,"48,12",,,"1,04",,,
   55 г
  Delisse Арахисовая Паста Creamy,88,"7,2","1,12","1,65","1,2",,"4,2",,,
   15 г
  Алексеевская Сгущенка,50,"1,28",,"8,4",,"6,52","1,12",,,
   15 г
  Bonvida Филе Куриное Копчено-Вареное,64,"2,5",,1,,,"9,5",,,
   50 г
  Качковая лепешка,496,"16,5",0,"37,04",0,"0,88","54,91",1,,
   1 порция
