#-------------------------------------------
# Food Diary Report - Detailed Report,"воскресенье, апреля 12, 2026","суббота, апреля 18, 2026"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,1969,"57,78","211,14","157,03"
Завтрак,524,"14,3","55,11","45,12"
Обед,508,"17,2","47,28","41,13"
Ужин,595,"16,96","61,9",50
Перекус/Другое,342,"9,32","46,85","20,78"

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"воскресенье, апреля 12, 2026",2162,"69,24",,"246,05","71,2","44,8","168,44",42,,54
 Завтрак,766,"20,33",,"73,79",,"44,8","72,27",42,,54
  X-Tra Сыр X-Tra Fit,89,"3,94",,0,,,"13,32",,,
   41 г
  Ермолино Зефир Ванильный,193,0,,"47,85",,"44,8","0,45",,,
   64 г
"  Новгородский Бекон Грудка Копчено-Вареная Экстра Сорт, Охлажденная",209,"7,6",,"0,95",,,"34,2",,,
   190 г
  Протеин+креатин+молоко,275,"8,79",,"24,99",,,"24,3",42,,54
   1 порция
 Обед,440,16,,2,,,72,,,
"  Новгородский Бекон Грудка Копчено-Вареная Экстра Сорт, Охлажденная",440,16,,2,,,72,,,
   400 г
 Ужин,,,,,,,,,,
 Перекус/Другое,956,"32,91",,"170,26","71,2",0,"24,17",,,
  Eco Botanica Зефир,180,0,,"73,2","71,2",0,"0,92",,,
"   4 x 1 зефир, 90 г"
  Каждый День Попкорн Сладкий,450,19,,63,,,7,,,
   100 г
  Rostic's Шефролл Джуниор,326,"13,91",,"34,06",,,"16,25",,,
   130 г

"понедельник, апреля 13, 2026",2138,"63,48","2,945","249,25","40,2",7,"157,45",708,372,276
 Завтрак,585,"16,09",,"88,09","17,8",5,"30,03",42,,54
  Eco Botanica Зефир,45,0,,"18,3","17,8",0,"0,23",,,
"   1 зефир, 22,5 г"
  Протеин+креатин+молоко,275,"8,79",,"24,99",,,"24,3",42,,54
   1 порция
  Шеф Перекресток Каша Рисовая на Кокосовом Молоке с Фруктами,265,"7,3",,"44,8",,5,"5,5",,,
"   1 порция, 250 г"
 Обед,367,"7,5",,"50,25",,,"22,5",,,
  Кухня на Районе Куриная Котлета с Макаронами,367,"7,5",,"50,25",,,"22,5",,,
"   3/4 x 1 порция, 225 г"
 Ужин,840,"27,23","2,945","73,41",2,2,"73,12",666,372,222
  Вареное Яйцо,68,"4,65","1,432","0,49",0,"0,49","5,51",122,186,55
   1 средний
  Лепешка с творогом,698,"22,46","1,513","55,42",2,"1,51","67,23",544,186,167
   1 порция
  Ударница Мармеладки в Шоколаде Шарм,74,"0,12",,"17,5",,,"0,38",,,
   20 г
 Перекус/Другое,346,"12,66",,"37,5","20,4",,"31,8",,,
"  Белый Город Молоко 2,5%",165,"7,5",,"14,1",,,9,,,
   300 мл
  Guarchibao Батончик в Шоколадной Глазури со Вкусом Чизкейка,181,"5,16",,"23,4","20,4",,"22,8",,,
   60 г

"вторник, апреля 14, 2026",2013,"58,86","1,513","223,51",22,"90,28","137,43",544,186,168
 Завтрак,474,10,0,"74,39",0,"29,97","22,6",0,0,1
  Зеленая Линия  Запеканка Творожная Нежная,358,10,,"44,4",,,"22,6",,,
   200 г
  Сахар,116,0,0,"29,99",0,"29,97",0,0,0,1
   30 г
 Обед,350,21,,19,,,22,,,
  Зеленая Линия  Котлеты из Индейки на Пару с Овощами,350,21,,19,,,22,,,
"   1 порция, 250 г"
 Ужин,1016,"23,56","1,513","126,62",2,"60,31","72,83",544,186,167
  Ермолино Зефир Ванильный,254,0,,"62,8",,"58,8","0,6",,,
   84 г
  Сухогруз Полоски Кальмара,64,"1,1",,"8,4",,,5,,,
   20 г
  Лепешка с творогом,698,"22,46","1,513","55,42",2,"1,51","67,23",544,186,167
   1 порция
 Перекус/Другое,173,"4,3",,"3,5",20,0,20,,,
  Bombbar Протеиновый Батончик Малиновый Чизкейк,173,"4,3",,"3,5",20,0,20,,,
"   1 батончик, 60 г"

"среда, апреля 15, 2026",1618,"44,88","7,084","111,28","51,2","28,34","169,45",241,43,480
 Завтрак,406,"6,88",,"25,28",20,0,"50,6",84,,108
  Bombbar Протеиновый Батончик Малиновый Чизкейк,173,"4,3",,"3,5",20,0,20,,,
"   1 батончик, 60 г"
  1 WIN Протеин,233,"2,58",,"21,78",,,"30,6",84,,108
   60 г
 Обед,544,"18,2",,"44,7",0,"19,5","50,4",0,0,0
  Савушкин Продукт Йогурт Греческий Teos 2%,167,5,,"10,5",0,"19,5",20,0,0,0
   250 г
  Перекрёсток Select Филе Куриное с Грибами под Сырной Корочкой,377,"13,2",,"34,2",,,"30,4",,,
"   1 порция, 240 г"
 Ужин,345,"12,25","7,084","27,65","1,2","8,84","33,45",157,43,372
  Салат с тунцом,345,"12,25","7,084","27,65","1,2","8,84","33,45",157,43,372
   5 порции
 Перекус/Другое,323,"7,55",,"13,65",30,0,35,,,
  Сухогруз Полоски Кальмара,64,"1,1",,"8,4",,,5,,,
   20 г
  Bombbar Протеиновый Батончик Малиновый Чизкейк,86,"2,15",,"1,75",10,0,10,,,
"   1/2 x 1 батончик, 30 г"
  Bombbar Протеиновый Батончик Малиновый Чизкейк,173,"4,3",,"3,5",20,0,20,,,
"   1 батончик, 60 г"

"четверг, апреля 16, 2026",1956,"62,76","10,596","200,61","32,9","45,25","146,38",308,53,1590
 Завтрак,519,"16,74","4,467","48,24",3,"8,16","47,3",156,26,738
  Салат с тунцом,244,"7,95","4,467","23,25",3,"8,16",23,114,26,684
   5 порции
  Протеин+креатин+молоко,275,"8,79",,"24,99",,,"24,3",42,,54
   1 порция
 Обед,607,"20,7",,"64,2",0,"19,5",41,0,0,0
  Савушкин Продукт Йогурт Греческий Teos 2%,167,5,,"10,5",0,"19,5",20,0,0,0
   250 г
  Перекресток Котлета Де-Воляй из Куриного Филе с Грибами и Спагетти,440,"15,7",,"53,7",,,21,,,
"   1 порция, 250 г"
