"date","weight_kg","fat_percent","neck_cm","shoulder_cm","chest_cm","left_bicep_cm","right_bicep_cm","left_forearm_cm","right_forearm_cm","abdomen_cm","waist_cm","hips_cm","left_thigh_cm","right_thigh_cm","left_calf_cm","right_calf_cm"
"17 мар. 2026, 00:00",96,,,,,,,,,,,,,,,
"23 мар. 2026, 00:00",95.65,,,,,,,,,,,,,,,
"24 мар. 2026, 00:00",95.7,,,,,,,,,,,,,,,
"26 мар. 2026, 00:00",95,,,,,,,,,,,,,,,
"27 мар. 2026, 00:00",94.8,,,,,,,,,,,,,,,
"30 мар. 2026, 00:00",94.85,,,,,,,,,,,,,,,
"31 мар. 2026, 00:00",94.9,,,,,,,,,,,,,,,
"2 апр. 2026, 00:00",94.4,,,,,,,,,,,,,,,
"3 апр. 2026, 00:00",94,,,,,,,,,,,,,,,
"6 апр. 2026, 00:00",94.8,,,,,,,,,,,,,,,
"7 апр. 2026, 00:00",94.4,,,,,,,,,,,,,,,
"9 апр. 2026, 00:00",94.9,,,,,,,,,,,,,,,
"10 апр. 2026, 00:00",94.4,,,,,,,,,,,,,,,
"13 апр. 2026, 00:00",95.4,,,,,,,,,,,,,,,
"14 апр. 2026, 00:00",94.4,,,,,,,,,,,,,,,
